ID,domain1_score,Score,gold_score,pred_score,difference,abs_difference
18490,14,15,14,15,1,1
10090,3,3,3,3,0,0
16369,3,4,3,4,1,1
18759,23,20,23,20,-3,3
3020,4,2,4,2,-2,2
18247,10,10,10,10,0,0
643,10,5,10,5,-5,5
4377,4,3,4,3,-1,1
7232,1,0,1,0,-1,1
1513,5,6,5,6,1,1
466,9,8,9,8,-1,1
13337,3,4,3,4,1,1
15244,3,3,3,3,0,0
15961,2,3,2,3,1,1
2986,4,5,4,5,1,1
18500,20,10,20,10,-10,10
7029,2,3,2,3,1,1
15103,4,3,4,3,-1,1
17973,15,10,15,10,-5,5
3447,4,3,4,3,-1,1
9162,1,2,1,2,1,1
12606,1,1,1,1,0,0
19563,15,15,15,15,0,0
264,8,3,8,3,-5,5
7017,2,0,2,0,-2,2
18243,24,27,24,27,3,3
19024,13,10,13,10,-3,3
9812,2,1,2,1,-1,1
21273,34,50,34,50,16,16
15685,2,2,2,2,0,0
14983,2,3,2,3,1,1
9851,1,1,1,1,0,0
21438,46,50,46,50,4,4
3423,2,2,2,2,0,0
995,4,2,4,2,-2,2
21329,30,42,30,42,12,12
10574,0,2,0,2,2,2
6435,1,1,1,1,0,0
3035,2,2,2,2,0,0
14927,2,3,2,3,1,1
21032,40,50,40,50,10,10
7170,1,1,1,1,0,0
10182,0,0,0,0,0,0
475,9,6,9,6,-3,3
14966,3,4,3,4,1,1
12152,3,3,3,3,0,0
10603,2,1,2,1,-1,1
4610,2,3,2,3,1,1
9105,1,1,1,1,0,0
8892,1,2,1,2,1,1
10213,1,0,1,0,-1,1
317,10,8,10,8,-2,2
6670,1,0,1,0,-1,1
15186,4,4,4,4,0,0
3077,5,6,5,6,1,1
19292,16,10,16,10,-6,6
15288,1,2,1,2,1,1
13302,3,2,3,2,-1,1
7462,2,1,2,1,-1,1
18426,10,10,10,10,0,0
9954,2,2,2,2,0,0
7609,2,3,2,3,1,1
16447,4,3,4,3,-1,1
1069,10,6,10,6,-4,4
7151,3,3,3,3,0,0
4125,4,4,4,4,0,0
13277,2,3,2,3,1,1
18830,13,10,13,10,-3,3
3361,4,4,4,4,0,0
16366,3,2,3,2,-1,1
1487,8,6,8,6,-2,2
16500,3,3,3,3,0,0
7670,0,0,0,0,0,0
12240,4,2,4,2,-2,2
7557,1,1,1,1,0,0
20926,47,50,47,50,3,3
9759,2,1,2,1,-1,1
4345,4,4,4,4,0,0
7570,2,2,2,2,0,0
7687,3,2,3,2,-1,1
4603,3,2,3,2,-1,1
13060,2,1,2,1,-1,1
18368,15,10,15,10,-5,5
7395,1,0,1,0,-1,1
9818,2,1,2,1,-1,1
16309,2,3,2,3,1,1
15751,3,2,3,2,-1,1
17987,18,12,18,12,-6,6
10569,0,1,0,1,1,1
9471,0,0,0,0,0,0
9390,1,1,1,1,0,0
649,8,8,8,8,0,0
10534,3,3,3,3,0,0
12203,2,2,2,2,0,0
18374,8,10,8,10,2,2
12533,2,1,2,1,-1,1
3282,4,4,4,4,0,0
1140,9,8,9,8,-1,1
12254,1,0,1,0,-1,1
15660,2,2,2,2,0,0
20885,34,30,34,30,-4,4
160,8,6,8,6,-2,2
6611,1,2,1,2,1,1
88,9,8,9,8,-1,1
19467,11,8,11,8,-3,3
15095,0,1,0,1,1,1
18904,14,12,14,12,-2,2
12723,2,2,2,2,0,0
13028,3,4,3,4,1,1
3322,3,3,3,3,0,0
1582,10,6,10,6,-4,4
9385,1,2,1,2,1,1
12671,4,3,4,3,-1,1
7092,1,1,1,1,0,0
776,7,6,7,6,-1,1
18150,14,15,14,15,1,1
246,11,9,11,9,-2,2
15698,2,2,2,2,0,0
7437,2,3,2,3,1,1
21629,40,50,40,50,10,10
19528,13,0,13,0,-13,13
3509,5,5,5,5,0,0
3455,3,2,3,2,-1,1
6094,1,3,1,3,2,2
4762,4,3,4,3,-1,1
7126,3,3,3,3,0,0
18630,16,10,16,10,-6,6
8993,0,2,0,2,2,2
553,8,4,8,4,-4,4
4366,4,2,4,2,-2,2
9962,2,2,2,2,0,0
15799,2,3,2,3,1,1
18710,13,10,13,10,-3,3
17842,18,15,18,15,-3,3
12551,2,2,2,2,0,0
1643,11,4,11,4,-7,7
15516,3,4,3,4,1,1
11984,2,1,2,1,-1,1
771,9,6,9,6,-3,3
1501,8,5,8,5,-3,3
19076,17,5,17,5,-12,12
21291,30,45,30,45,15,15
9712,1,0,1,0,-1,1
8998,3,3,3,3,0,0
12414,0,0,0,0,0,0
15052,3,3,3,3,0,0
12815,2,1,2,1,-1,1
18102,13,10,13,10,-3,3
15631,3,4,3,4,1,1
7518,1,1,1,1,0,0
4346,3,3,3,3,0,0
18467,21,12,21,12,-9,9
162,12,6,12,6,-6,6
11895,3,2,3,2,-1,1
21361,45,55,45,55,10,10
18029,17,20,17,20,3,3
13259,3,3,3,3,0,0
6953,1,2,1,2,1,1
7104,1,2,1,2,1,1
15987,3,3,3,3,0,0
8910,1,1,1,1,0,0
6842,1,3,1,3,2,2
7458,2,2,2,2,0,0
19401,13,0,13,0,-13,13
4054,3,3,3,3,0,0
6815,2,3,2,3,1,1
18937,10,5,10,5,-5,5
12320,2,1,2,1,-1,1
6644,1,1,1,1,0,0
1756,10,4,10,4,-6,6
16027,3,3,3,3,0,0
12523,3,2,3,2,-1,1
10030,0,0,0,0,0,0
13031,2,2,2,2,0,0
10184,3,3,3,3,0,0
16201,4,3,4,3,-1,1
6428,2,2,2,2,0,0
3492,4,4,4,4,0,0
17865,17,0,17,0,-17,17
20883,36,45,36,45,9,9
16044,3,3,3,3,0,0
15808,3,1,3,1,-2,2
3562,3,3,3,3,0,0
12508,2,1,2,1,-1,1
14893,2,3,2,3,1,1
854,8,4,8,4,-4,4
1302,10,4,10,4,-6,6
8914,2,3,2,3,1,1
7089,1,3,1,3,2,2
9556,2,2,2,2,0,0
4157,4,3,4,3,-1,1
10406,1,2,1,2,1,1
394,7,5,7,5,-2,2
13160,3,3,3,3,0,0
19222,17,22,17,22,5,5
18332,22,20,22,20,-2,2
9435,1,0,1,0,-1,1
3133,4,3,4,3,-1,1
1342,8,6,8,6,-2,2
12776,2,2,2,2,0,0
6865,2,2,2,2,0,0
18655,21,12,21,12,-9,9
15539,3,4,3,4,1,1
12183,1,0,1,0,-1,1
7268,1,0,1,0,-1,1
