ID,Score
15282,4
12208,1
20865,50
18171,10
10382,3
8965,1
47,6
6804,3
21505,45
16595,4
4455,4
18174,12
13009,2
7567,1
6257,0
12994,1
15479,2
15095,1
16022,0
14,2
3331,3
7336,2
4066,2
16260,4
3965,4
649,8
10213,0
18538,12
7518,1
1771,3
17921,0
7016,2
18089,5
16366,2
505,4
4497,4
7452,3
18490,15
21176,35
6699,2
16216,2
1042,10
10292,1
6293,2
1228,6
490,6
10385,0
15963,3
18302,10
1342,6
13046,3
9292,3
7063,3
4603,2
9549,1
957,8
10191,3
18448,20
4762,3
21056,55
10465,3
10082,2
20846,42
12621,0
8993,2
19311,20
9328,1
1063,8
12247,2
12240,2
21043,50
20901,50
19352,20
1456,4
16446,4
12183,0
6997,3
16142,1
20899,45
9622,2
3492,4
18102,10
4450,1
3799,3
6970,2
628,6
9788,3
1483,4
16197,3
12356,0
13380,1
12892,1
19292,10
6926,3
12842,1
15338,1
3423,2
15332,3
15533,3
10603,1
10135,0
21291,45
3983,5
9867,0
19435,12
2991,3
19337,5
12662,2
886,7
18017,10
6849,3
9851,1
7426,1
4125,4
469,6
3355,2
10462,0
6435,1
305,8
7390,1
16070,2
7100,1
12230,3
13031,2
7268,0
6815,3
2984,4
9316,3
12946,0
16348,2
8870,2
19429,0
19442,10
16404,4
553,4
1401,6
6453,3
13259,3
113,4
16505,4
7570,2
9538,1
17865,0
10222,1
1145,8
21273,50
264,3
8920,0
8991,0
21235,20
7534,3
13377,2
4009,1
4572,2
13579,1
6351,3
5,6
6589,2
15031,4
21068,45
1062,2
6885,0
9741,3
12551,2
16537,2
21181,45
444,4
17973,10
16027,3
7450,1
16019,4
3200,3
3330,3
6571,2
13131,2
16514,4
9195,1
19303,10
9263,3
15314,4
9752,2
6149,1
15727,1
16127,4
4408,2
7014,1
843,7
13481,2
18582,10
15288,2
1509,4
19219,0
3471,2
446,4
18769,10
9894,1
13620,3
18857,15
12322,0
3050,2
15132,4
15385,4
12461,1
18500,10
1756,4
10549,0
18332,20
1573,6
12636,0
7032,2
3901,4
6660,2
3088,3
9050,3
18786,22
21630,50
13302,2
635,3
1566,6
13319,2
21436,40
8910,1
1589,4
7464,2
7609,3
15998,3
13474,0
7029,3
12101,2
7409,3
7572,3
20,6
1368,3
12671,3
13077,0
19004,5
13014,2
16483,4
21209,45
12109,2
18212,10
491,2
6598,1
15226,3
9627,2
8978,0
15755,0
21438,50
18223,22
7126,3
9491,1
10534,3
4583,3
9702,2
18052,10
9618,3
13472,3
3035,2
13391,0
3142,2
3272,1
9522,3
3703,3
15157,2
6062,2
19170,12
12726,0
16442,3
19153,15
7668,3
21224,35
3598,3
4635,3
20822,50
3447,3
6211,2
1402,6
13036,4
6431,3
15244,3
3650,4
13566,2
4739,4
761,2
15427,4
16033,4
14998,4
7049,2
6305,3
3721,3
8983,2
1190,4
15589,3
9502,3
18243,27
4104,3
16226,2
10483,3
3562,3
6196,1
3843,3
9446,1
19244,10
475,6
3120,3
4050,1
722,8
21361,55
12003,3
8992,0
13572,2
6052,1
13237,1
15905,3
6096,1
17854,12
3285,2
10622,2
19009,10
15709,3
4306,3
4377,3
9180,1
18505,0
14912,3
4693,3
15685,2
3934,2
7599,2
14937,1
6865,2
7636,1
10207,2
21447,40
6812,1
15497,2
9768,1
218,3
6555,0
167,6
9525,3
1759,6
15209,4
6890,2
666,6
3889,2
15751,2
19256,12
1143,10
794,5
18260,10
7319,3
19150,10
20917,35
1616,8
7440,2
3869,3
3298,4
6670,0
769,8
4155,3
3322,3
16147,3
12514,2
12416,1
17893,10
12341,1
12155,4
9278,1
13443,1
9049,2
4366,2
10406,2
7457,0
7462,1
9736,1
17901,5
3851,3
7151,3
16289,0
17928,10
12809,1
3238,3
10184,3
12218,2
1403,4
4269,3
9597,2
9556,2
12403,3
3455,2
4688,3
21308,50
3240,2
12254,0
9659,1
11927,0
16393,4
1312,3
3872,2
9806,1
19282,10
12867,2
12958,4
18764,5
12085,3
16005,1
21403,48
15633,0
21608,35
15525,4
19264,10
20825,35
16528,1
15563,1
21485,45
859,6
12399,1
9383,2
21336,50
9435,0
3070,3
6188,0
3062,4
18374,10
3228,3
6103,3
520,2
16106,4
13290,2
568,4
3582,1
3608,3
3012,3
472,6
1504,8
12308,1
19089,12
9422,3
13028,4
15472,1
1302,4
854,4
6155,2
10263,1
18904,12
21441,45
9432,2
18740,10
13060,1
11984,1
9471,0
15388,2
9648,3
14882,4
4766,4
14967,4
16178,3
6390,1
20732,10
13081,4
18427,10
19401,0
4244,4
17868,12
9582,1
19364,12
12880,0
13294,2
21156,45
21221,35
12769,2
3361,4
19430,15
13001,1
4391,3
9162,2
6953,2
21629,50
18710,10
8938,0
3259,2
15984,1
19247,10
16103,0
3264,3
18426,10
9844,1
4280,3
15820,4
9295,1
19542,10
3437,3
9615,3
7017,0
4415,3
1505,6
11900,2
3430,2
14943,3
7661,2
19528,0
19020,10
6371,2
1332,8
3991,2
10225,1
3946,4
9664,0
19495,10
19405,10
9003,3
7007,2
14856,2
1195,6
6566,2
4777,2
9852,3
10246,2
15746,4
19480,10
9484,3
15069,3
12995,1
15067,2
10027,3
12635,0
6252,1
3538,2
6289,2
13493,3
1457,6
12843,2
15218,2
18310,5
9712,0
13606,1
5987,2
19125,15
18721,8
20885,30
20926,50
1656,6
13452,0
12614,1
10031,2
11837,0
13338,2
11863,2
16512,2
11935,0
3709,2
15723,4
6918,3
1665,8
833,6
18810,12
18945,22
7128,2
14927,3
7283,2
20936,50
1019,8
1536,4
549,4
807,4
9482,3
565,6
21620,45
3282,4
7657,3
642,6
21214,45
9027,3
18557,15
15631,4
9273,1
1219,7
6018,0
15036,3
10013,3
16491,4
4345,4
9784,3
21102,35
15691,1
3985,2
1462,4
20742,45
7477,1
15156,3
20883,45
776,6
6871,3
18830,10
1490,4
10179,2
4725,2
12255,2
3077,6
16001,3
14983,3
18759,20
18442,18
6315,2
20772,30
13276,2
15420,2
9213,0
6501,1
6842,3
15433,3
1158,6
515,4
7601,2
7143,1
123,8
15730,2
10505,2
51,6
894,8
6931,3
162,6
19406,22
14908,4
9417,1
18554,12
7658,3
16469,4
16309,3
6462,0
4162,5
10569,1
